Desa,URL,lonngitude,latitude,Kecamatan,Kabupaten/Kota,Provinsi
SUMBERSARI,sumbersari-ciparay.desa.id,107.696037,-7.011453,Ciparay,Bandung,Jawa Barat
SARIMAHI,sarimahi.desa.id,107.701765,-7.024256,Ciparay,Bandung,Jawa Barat
SERANGMEKAR,serangmekar.desa.id,107.691921,-7.02447,Ciparay,Bandung,Jawa Barat
GUNUNGLEUTIK,,107.697513,-7.03891,Ciparay,Bandung,Jawa Barat
CIHEULANG,ciheulang.desa.id,107.686531,-7.031549,Ciparay,Bandung,Jawa Barat
MEKARLAKSANA,,107.686531,-7.031549,Ciparay,Bandung,Jawa Barat
BUMIWANGI,bumiwangi.desa.id,107.686531,-7.031549,Ciparay,Bandung,Jawa Barat
MALAKASARI,malakasari.desa.id,107.606239,-7.081892,Baleendah,Bandung,Jawa Barat
BOJONGMALAKA,bojongmalaka.desa.id,107.616481,-6.998034,Baleendah,Bandung,Jawa Barat
RANCAMANYAR,rancamanyar.desa.id,107.599928,-6.994849,Baleendah,Bandung,Jawa Barat
BATUKARUT,batukarut.desa.id,107.609424,-7.067591,Arjasari,Bandung,Jawa Barat
MANGUNJAYA,mangunjaya.desa.id,107.623088,-7.097001,Arjasari,Bandung,Jawa Barat
MEKARJAYA,mekarjaya-arjasari.desa.id,107.630008,-7.095989,Arjasari,Bandung,Jawa Barat
BAROS,,107.626837,-7.083952,Arjasari,Bandung,Jawa Barat
LEBAKWANGI,lebakwangi.desa.id,107.613235,-7.061639,Arjasari,Bandung,Jawa Barat
WARGALUYU,,107.617038,-7.061639,Arjasari,Bandung,Jawa Barat
ARJASARI,arjasari-bandung.desa.id,107.638397,-7.084083,Arjasari,Bandung,Jawa Barat
PINGGIRSARI,pinggirsari.desa.id,107.654716,-7.081385,Arjasari,Bandung,Jawa Barat
PATROLSARI,patrolsari.desa.id,107.672443,-7.05484,Arjasari,Bandung,Jawa Barat
RANCAKOLE,rancakole-arjasari.desa.id,107.675644,-7.069035,Arjasari,Bandung,Jawa Barat
ANCOLMEKAR,ancolmekar.desa.id,107.665797,-7.094988,Arjasari,Bandung,Jawa Barat
MEKARJAYA,mekarjaya-banjaran.desa.id,107.600357,-7.093495,Banjaran,Bandung,Jawa Barat
BANJARAN WETAN,banjaranwetan.desa.id,107.602642,-7.070993,Banjaran,Bandung,Jawa Barat
CIAPUS,ciapus.desa.id,107.595638,-7.071829,Banjaran,Bandung,Jawa Barat
SINDANGPANON,sindangpanon.desa.id,107.584307,-7.079154,Banjaran,Bandung,Jawa Barat
NEGLASARI,neglasari.desa.id,107.575061,-7.059199,Banjaran,Bandung,Jawa Barat
MARGAHURIP,margahurip.desa.id,107.565929,-7.053062,Banjaran,Bandung,Jawa Barat
KIANGROKE,kiangroke.desa.id,107.568569,-7.046427,Banjaran,Bandung,Jawa Barat
KAMASAN,kamasan-banjaran.desa.id,107.577522,-7.050468,Banjaran,Bandung,Jawa Barat
BANJARAN,banjaran.desa.id,107.593995,-7.061434,Banjaran,Bandung,Jawa Barat
TARAJUSARI,tarajusari.desa.id,107.585529,-7.038923,Banjaran,Bandung,Jawa Barat
PASIRMULYA,pasirmulya.desa.id,107.585529,-7.038923,Banjaran,Bandung,Jawa Barat
JATISARI,,107.545672,-7.064366,Cangkuang,Bandung,Jawa Barat
NAGRAK,,107.5485,-7.055323,Cangkuang,Bandung,Jawa Barat
BANDASARI,,107.530369,-7.071956,Cangkuang,Bandung,Jawa Barat
PANANJUNG,pananjung.desa.id,107.52869,-7.06391,Cangkuang,Bandung,Jawa Barat
CILUNCAT,ciluncat.desa.id,107.550179,-7.039744,Cangkuang,Bandung,Jawa Barat
CANGKUANG,cangkuang.desa.id,107.560412,-7.037726,Cangkuang,Bandung,Jawa Barat
TANJUNGSARI,,107.575811,-7.03711,Cangkuang,Bandung,Jawa Barat
BOJONGMANGGU,bojongmanggu.desa.id,107.616562,-7.046954,Pameungpeuk,Bandung,Jawa Barat
LANGONSARI,langonsari.desa.id,107.60434,-7.20245,Pameungpeuk,Bandung,Jawa Barat
SUKASARI,sukasari.desa.id,107.596081,-7.035871,Pameungpeuk,Bandung,Jawa Barat
RANCAMULYA,rancamulya.desa.id,107.602676,-7.01495,Pameungpeuk,Bandung,Jawa Barat
RANCATUNGKU,rancatungku.desa.id,107.58881,-7.020839,Pameungpeuk,Bandung,Jawa Barat
BOJONGKUNCI,bojongkunci.desa.id,107.57407,-7.01963,Pameungpeuk,Bandung,Jawa Barat
GANDASARI,,107.553287,-7.024953,Katapang,Bandung,Jawa Barat
KATAPANG,katapang.desa.id,107.549705,-7.006043,Katapang,Bandung,Jawa Barat
CILAMPENI,,107.555614,-6.98837,Katapang,Bandung,Jawa Barat
PANGAUBAN,pangauban-katapang.desa.id,107.559635,-6.999519,Katapang,Bandung,Jawa Barat
BANYUSARI,banyusari.desa.id,107.5606,-7.018394,Katapang,Bandung,Jawa Barat
SANGKANHURIP,sangkanhurip.desa.id,107.571258,-6.999658,Katapang,Bandung,Jawa Barat
SUKAMUKTI,sukamukti-katapang.desa.id,107.583191,-7.003435,Katapang,Bandung,Jawa Barat
SADU,sadu.desa.id,107.510139,-7.03466,Soreang,Bandung,Jawa Barat
SUKAJADI,sukajadi.desa.id,107.511959,-7.065642,Soreang,Bandung,Jawa Barat
SUKANAGARA,sukanagara.desa.id,107.519054,-7.067275,Soreang,Bandung,Jawa Barat
PANYIRAPAN,panyirapan.desa.id,107.522903,-7.050087,Soreang,Bandung,Jawa Barat
KARAMATMULYA,karamatmulya.desa.id,107.516823,-7.041206,Soreang,Bandung,Jawa Barat
SOREANG,soreang.desa.id,107.530605,-7.038333,Soreang,Bandung,Jawa Barat
PAMEKARAN,pamekaran.desa.id,107.526705,-7.025026,Soreang,Bandung,Jawa Barat
PARUNGSERAB,prungserab.desa.id,107.526705,-7.025026,Soreang,Bandung,Jawa Barat
SEKARWANGI,sekarwangi.desa.id,107.526705,-7.025026,Soreang,Bandung,Jawa Barat
CINGCIN,cingcin.desa.id,107.526705,-7.025026,Soreang,Bandung,Jawa Barat
CILAME,cilame.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
BUNINAGARA,buninagara.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
PADASUKA,padasuka.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
SUKAMULYA,sukamulya.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
KUTAWARINGIN,kutawaringin.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
KOPO,kopo.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
CIBODAS,cibodas-kutawaringin.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
JATISARI,jatisari-kutawaringin.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
JELEGONG,jelegong-kutawaringin.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
GAJAHMEKAR,gajahmekar.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
PAMEUNTASAN,pameuntasan.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
NANJUNG,nanjung.desa.id,107.543869,-6.954384,Margaasih,Bandung,Jawa Barat
MEKAR RAHAYU,mekarrahayu.desa.id,107.558185,-6.975428,Margaasih,Bandung,Jawa Barat
RAHAYU,rahayu.desa.id,107.565995,-6.962049,Margaasih,Bandung,Jawa Barat
CIGONDEWAH HILIR,cigondewahhilir.desa.id,107.558666,-6.957755,Margaasih,Bandung,Jawa Barat
MARGAASIH,margaasih.desa.id,107.554805,-6.944483,Margaasih,Bandung,Jawa Barat
LAGADAR,lagadar.desa.id,107.541564,-6.933812,Margaasih,Bandung,Jawa Barat
SUKAMENAK,sukamenak.desa.id,107.585029,-6.975129,Margahayu,Bandung,Jawa Barat
SAYATI,sayati.desa.id,107.57883,-6.974401,Margahayu,Bandung,Jawa Barat
MARGAHAYU SELATAN,margahayuselatan.desa.id,107.57302,-6.978427,Margahayu,Bandung,Jawa Barat
MARGAHAYU TENGAH,margahayutengah.desa.id,107.5685216,-6.9599938,Margahayu,Bandung,Jawa Barat
CANGKUANG KULON,cangkuangkulon.desa.id,107.594402,-6.97603,Dayeuhkolot,Bandung,Jawa Barat
CANGKUANG WETAN,cangkuangwetan.desa.id,107.604339,-6.974978,Dayeuhkolot,Bandung,Jawa Barat
DAYEUHKOLOT,dayeuhkolot.desa.id,107.623779,-6.98602,Dayeuhkolot,Bandung,Jawa Barat
CITEUREUP,citeureup.desa.id,107.6175577,-6.9811354,Dayeuhkolot,Bandung,Jawa Barat
SUKAPURA,sukapura.desa.id,107.628841,-6.971236,Dayeuhkolot,Bandung,Jawa Barat
BOJONGSARI,bojongsari.desa.id,107.650726,-7.005545,Bojong Soang,Bandung,Jawa Barat
BOJONGSOANG,bojongsoang.desa.id,107.644344,-6.993959,Bojong Soang,Bandung,Jawa Barat
LENGKONG,lengkong.desa.id,107.657756,-6.986858,Bojong Soang,Bandung,Jawa Barat
CIPAGALO,cipagalo.desa.id,107.649128,-6.975674,Bojong Soang,Bandung,Jawa Barat
BUAHBATU,buahbatu.desa.id,107.669166,-6.983426,Bojong Soang,Bandung,Jawa Barat
TEGALLUAR,,107.687202,-6.98383,Bojong Soang,Bandung,Jawa Barat
CIBIRU HILIR,cibiruhilir.desa.id,107.714344,-6.960694,Cileunyi,Bandung,Jawa Barat
CINUNUK,cinunuk.desa.id,107.729187,-6.939135,Cileunyi,Bandung,Jawa Barat
CIMEKAR,cimekar.desa.id,107.737289,-6.942128,Cileunyi,Bandung,Jawa Barat
CILEUNYI KULON,cileunyikulon.desa.id,107.7201944,-6.9364452,Cileunyi,Bandung,Jawa Barat
CILEUNYI WETAN,cileunyiwetan.desa.id,107.753927,-6.933059,Cileunyi,Bandung,Jawa Barat
CIBIRU WETAN,cibiruwetan.desa.id,107.735087,-6.922763,Cileunyi,Bandung,Jawa Barat
GIRIMEKAR,girimekar.desa.id,107.69926,-6.886135,Cilengkrang,Bandung,Jawa Barat
JATIENDAH,jatiendah.desa.id,107.693306,-6.90987,Cilengkrang,Bandung,Jawa Barat
MELATIWANGI,melatiwangi.desa.id,107.713482,-6.884706,Cilengkrang,Bandung,Jawa Barat
CIPANJALU,cipanjalu.desa.id,107.6934055,-6.856896,Cilengkrang,Bandung,Jawa Barat
CIPOREAT,ciporeat.desa.id,107.729141,-6.890203,Cilengkrang,Bandung,Jawa Barat
CILENGKRANG,cilengkrang.desa.id,107.737453,-6.895061,Cilengkrang,Bandung,Jawa Barat
MANDALAMEKAR,mandalamekar-cimenyan.desa.id,107.670875,-6.885459,Cimenyan,Bandung,Jawa Barat
CIKADUT,cikadut.desa.id,107.674217,-6.888838,Cimenyan,Bandung,Jawa Barat
SINDANGLAYA,sindanglaya.desa.id,107.683376,-6.893634,Cimenyan,Bandung,Jawa Barat
MEKARMANIK,mekarmanik.desa.id,107.69598,-6.867503,Cimenyan,Bandung,Jawa Barat
CIMENYAN,cimenyan.desa.id,107.675552,-6.863832,Cimenyan,Bandung,Jawa Barat
MEKARSALUYU,mekarsaluyu.desa.id,107.651054,-6.871759,Cimenyan,Bandung,Jawa Barat
CIBURIAL,ciburial.desa.id,107.648698,-6.850098,Cimenyan,Bandung,Jawa Barat
Kampung Belakang,kampungbelakang.desa.id,96.1241508,4.1358177,Johan Pahlawan,Aceh Barat,Aceh
